test_case,implementation,runtime,successful,acceleration
input2D_100_100_100_4,Sequential,0.0054013729095458984,True,
input2D_100_100_100_4,CUDA Centroids,0.33646082878112793,True,0.016053497012157573
input2D_100_100_100_4,CUDA Distances,0.3043363094329834,True,0.01774803972489951
input2D_100_100_100_4,CUDA Full,0.29545021057128906,True,0.018281838077223517
input100D2_100_10_0_0005,Sequential,26.40494465827942,True,
input100D2_100_10_0_0005,CUDA Centroids,25.79171323776245,True,1.023776296474137
input100D2_100_10_0_0005,CUDA Distances,1.1890697479248047,True,22.2063884009849
input100D2_100_10_0_0005,CUDA Full,0.7724552154541016,True,34.183139850711996
input100D2_K10,Sequential,2.9072494506835938,True,
input100D2_K10,CUDA Centroids,3.022040367126465,True,0.9620154258389271
input100D2_K10,CUDA Distances,0.9336714744567871,True,3.113782020999453
input100D2_K10,CUDA Full,0.7368934154510498,True,3.9452780954815245
input100D2_K500,Sequential,122.362468957901,True,
input100D2_K500,CUDA Centroids,122.60212206840515,True,0.998045277630917
input100D2_K500,CUDA Distances,2.074927806854248,True,58.97191630171077
input100D2_K500,CUDA Full,0.8973069190979004,True,136.366349521652
input10D_100_10_0_0005,Sequential,0.02594447135925293,True,
input10D_100_10_0_0005,CUDA Centroids,0.3508903980255127,True,0.07393896072746496
input10D_100_10_0_0005,CUDA Distances,0.32010388374328613,True,0.08105016114099893
input10D_100_10_0_0005,CUDA Full,0.31481409072875977,True,0.0824120397508077
